day,scarico,elaborazione
22052021,20,24
25052021,30,189
26052021,22,416
27052021,21,36
28052021,20,66
29052021,15,0
01062021,23,105
02062021,17,19
03062021,18,36
04062021,18,36
05062021,16,27
08062021,17,52
09062021,34,123
10062021,19,57
11062021,50,90
12062021,0,0
15062021,48,176
16062021,19,37
17062021,34,136
18062021,22,79
19062021,46,26
22062021,19,48
23062021,23,28
24062021,29,54
25062021,24,49
26062021,146,33
29062021,29,64
30062021,13,36
02072021,0,0
