day,scarico,elaborazione
22052021,0,33
25052021,0,21
26052021,0,11
27052021,0,16
28052021,0,4
29052021,0,22
01062021,0,36
02062021,0,18
03062021,0,11
04062021,0,80
05062021,0,18
08062021,0,33
09062021,0,21
10062021,0,21
11062021,0,22
12062021,0,69
15062021,0,26
16062021,0,29
17062021,0,35
18062021,0,30
19062021,0,30
22062021,0,29
23062021,0,31
24062021,0,29
25062021,0,48
26062021,0,47
29062021,0,130
30062021,0,51
02072021,0,101
