day,scarico,elaborazione
22052021,3,20
25052021,8,151
26052021,4,364
27052021,4,33
28052021,8,25
29052021,3,446
01062021,7,28
02062021,5,38
03062021,3,27
04062021,3,29
05062021,3,20
08062021,5,62
09062021,18,69
10062021,8,60
11062021,0,0
12062021,0,0
15062021,31,123
16062021,7,40
17062021,32,99
18062021,10,93
19062021,6,28
22062021,12,34
23062021,12,45
24062021,10,54
25062021,11,37
26062021,7,41
29062021,11,53
30062021,8,72
02072021,0,0
