day,scarico,elaborazione
22052021,0,40
25052021,0,109
26052021,0,42
27052021,0,46
28052021,0,47
29052021,0,46
01062021,0,94
02062021,0,156
03062021,0,118
04062021,0,79
05062021,0,35
08062021,0,57
09062021,0,59
10062021,0,0
11062021,0,0
12062021,0,55
15062021,0,67
16062021,0,279
17062021,0,220
18062021,0,58
19062021,0,60
22062021,0,232
23062021,0,69
24062021,0,72
25062021,0,71
26062021,0,64
29062021,0,114
30062021,0,60
02072021,0,0
