day,scarico,elaborazione
22052021,0,33
25052021,0,58
26052021,0,32
27052021,0,28
28052021,0,29
29052021,0,33
01062021,0,36
02062021,0,40
03062021,0,93
04062021,0,33
05062021,0,33
08062021,0,47
09062021,0,35
10062021,0,35
11062021,0,92
12062021,0,0
15062021,0,62
16062021,0,40
17062021,0,79
18062021,0,107
19062021,0,45
22062021,0,50
23062021,0,38
24062021,0,38
25062021,0,104
26062021,0,46
29062021,0,98
30062021,0,57
02072021,0,0
